Date_Of_Stop,work_zone,vehicle_type,vehicle_year,vehicle_color,race,gender,driver_state,speed,speed_limit,speed_over,percentage_over_limit,hour_of_day
12/31/2017,No,02 - Automobile,2011,SILVER,WHITE,M,VA,39,30,9,30,23
12/31/2017,No,02 - Automobile,2008,SILVER,BLACK,M,MD,45,35,10,28.57143,22
12/31/2017,No,02 - Automobile,1999,BLACK,BLACK,F,MD,50,35,15,42.85714,1
12/31/2017,No,02 - Automobile,2010,BLACK,BLACK,M,MD,60,35,25,71.42857,23
12/31/2017,No,02 - Automobile,2017,WHITE,HISPANIC,M,MD,49,40,9,22.5,7
12/31/2017,No,02 - Automobile,2013,BLACK,HISPANIC,M,MD,49,40,9,22.5,8
12/31/2017,No,02 - Automobile,2013,BLACK,HISPANIC,M,MD,49,40,9,22.5,8
12/31/2017,No,02 - Automobile,2013,BLACK,ASIAN,M,MD,49,40,9,22.5,8
12/31/2017,No,02 - Automobile,2013,BLACK,ASIAN,M,MD,90,55,35,63.63636,6
12/31/2017,No,02 - Automobile,1998,BLACK,WHITE,M,MD,59,35,24,68.57143,9
12/31/2017,No,02 - Automobile,1998,BLACK,WHITE,M,MD,70,50,20,40,12
12/31/2017,No,02 - Automobile,2002,GREEN,HISPANIC,M,MD,69,60,9,15,17
12/31/2017,No,02 - Automobile,2005,SILVER,WHITE,M,MD,44,35,9,25.71429,14
12/31/2017,No,02 - Automobile,2005,SILVER,WHITE,M,MD,39,30,9,30,20
12/31/2017,No,02 - Automobile,2005,SILVER,WHITE,M,MD,38,30,8,26.66667,7
12/31/2017,No,02 - Automobile,2009,SILVER,OTHER,M,MD,38,30,8,26.66667,7
12/31/2017,No,02 - Automobile,2016,BLUE,BLACK,M,MD,38,30,8,26.66667,8
12/31/2017,No,02 - Automobile,2015,RED,BLACK,M,MD,38,30,8,26.66667,8
12/31/2017,No,02 - Automobile,2016,BLUE,BLACK,M,MD,46,35,11,31.42857,9
12/31/2017,No,02 - Automobile,2006,WHITE,BLACK,F,PA,70,55,15,27.27273,2
12/31/2017,No,02 - Automobile,2006,WHITE,BLACK,F,PA,70,35,35,100,1
12/31/2017,No,02 - Automobile,2018,SILVER,BLACK,M,MD,39,30,9,30,10
12/31/2017,No,02 - Automobile,2011,GRAY,BLACK,F,MD,39,30,9,30,11
12/31/2017,No,02 - Automobile,2011,GRAY,BLACK,F,MD,45,35,10,28.57143,21
12/31/2017,No,02 - Automobile,2004,GRAY,HISPANIC,M,MD,44,35,9,25.71429,8
12/31/2017,No,02 - Automobile,2005,SILVER,WHITE,M,MD,44,35,9,25.71429,8
12/31/2017,No,02 - Automobile,2005,SILVER,WHITE,M,MD,58,40,18,45,17
12/31/2017,No,02 - Automobile,2008,SILVER,BLACK,M,MD,56,40,16,40,17
12/31/2017,No,02 - Automobile,2008,SILVER,BLACK,M,MD,67,40,27,67.5,17
12/31/2017,No,02 - Automobile,2008,SILVER,ASIAN,F,MD,69,40,29,72.5,18
12/31/2017,No,02 - Automobile,2008,SILVER,ASIAN,F,MD,59,40,19,47.5,18
12/31/2017,No,02 - Automobile,2008,SILVER,ASIAN,F,MD,60,40,20,50,19
12/31/2017,No,02 - Automobile,2008,SILVER,ASIAN,F,MD,44,35,9,25.71429,11
12/31/2017,No,02 - Automobile,2008,SILVER,ASIAN,F,MD,44,35,9,25.71429,11
12/31/2017,No,02 - Automobile,2012,GRAY,BLACK,M,DC,44,35,9,25.71429,12
12/31/2017,No,02 - Automobile,2012,GRAY,BLACK,M,DC,64,55,9,16.36364,0
12/31/2017,No,02 - Automobile,2012,GRAY,BLACK,M,DC,77,55,22,40,2
12/31/2017,No,02 - Automobile,2012,GRAY,BLACK,M,DC,30,25,5,20,13
12/31/2017,No,02 - Automobile,2014,RED,WHITE,F,MD,57,40,17,42.5,10
12/31/2017,No,02 - Automobile,2014,RED,WHITE,F,MD,58,40,18,45,10
12/31/2017,No,02 - Automobile,2009,BLACK,OTHER,M,MD,60,40,20,50,14
12/31/2017,No,02 - Automobile,2009,BLACK,OTHER,M,MD,59,40,19,47.5,14
12/31/2017,No,02 - Automobile,2009,BLACK,OTHER,M,MD,57,40,17,42.5,14
12/31/2017,No,02 - Automobile,2016,BLACK,BLACK,M,MD,42,25,17,68,6
12/31/2017,No,02 - Automobile,2014,GRAY,ASIAN,M,MD,39,30,9,30,7
12/31/2017,No,02 - Automobile,2004,GRAY,OTHER,M,MD,48,30,18,60,8
12/31/2017,No,02 - Automobile,2004,GRAY,OTHER,M,MD,70,40,30,75,14
12/31/2017,No,02 - Automobile,2014,BLACK,WHITE,M,MD,39,30,9,30,13
12/31/2017,No,02 - Automobile,2014,BLACK,WHITE,M,MD,53,35,18,51.42857,13
12/31/2017,No,02 - Automobile,2014,BLACK,WHITE,M,MD,51,35,16,45.71429,14
12/31/2017,No,02 - Automobile,2014,BLACK,WHITE,M,MD,54,35,19,54.28571,14
12/31/2017,No,02 - Automobile,2014,BLACK,WHITE,M,MD,48,30,18,60,17
12/31/2017,No,02 - Automobile,2014,BLACK,WHITE,M,MD,48,30,18,60,17
12/31/2017,No,02 - Automobile,1999,GOLD,WHITE,M,MD,56,40,16,40,9
12/31/2017,No,02 - Automobile,1999,GOLD,WHITE,M,MD,50,35,15,42.85714,12
12/31/2017,No,02 - Automobile,1999,GOLD,WHITE,M,MD,49,40,9,22.5,9
12/31/2017,No,02 - Automobile,1999,GOLD,WHITE,M,MD,49,40,9,22.5,7
12/31/2017,No,02 - Automobile,1999,GOLD,WHITE,M,MD,49,40,9,22.5,8
12/31/2017,No,02 - Automobile,2013,WHITE,HISPANIC,F,MD,49,40,9,22.5,8
12/31/2017,No,02 - Automobile,2011,GRAY,WHITE,M,MD,49,40,9,22.5,8
12/31/2017,No,02 - Automobile,2011,GRAY,WHITE,M,MD,39,30,9,30,22
12/31/2017,No,02 - Automobile,2004,WHITE,HISPANIC,M,MD,44,35,9,25.71429,13
12/31/2017,No,02 - Automobile,2004,WHITE,HISPANIC,M,MD,49,40,9,22.5,13
12/31/2017,No,02 - Automobile,2004,WHITE,HISPANIC,M,MD,49,40,9,22.5,9
12/31/2017,No,02 - Automobile,2004,WHITE,HISPANIC,M,MD,49,40,9,22.5,9
12/31/2017,No,02 - Automobile,2004,WHITE,HISPANIC,M,MD,64,55,9,16.36364,1
